City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Yangambi,CD,2021-05-26 22:04:17,0.8102,24.4336,71.42,77,93,2.26
182,Eyl,SO,2021-05-26 22:04:17,7.9803,49.8164,79.2,74,10,20.0
183,Melo,UY,2021-05-26 22:04:17,-32.3667,-54.1833,54.21,77,34,8.14
184,Bengkulu,ID,2021-05-26 22:04:17,-3.8004,102.2655,77.52,81,97,4.5
185,Carballo,ES,2021-05-26 22:04:18,43.213,-8.691,58.42,91,61,2.24
186,Dekar,BW,2021-05-26 22:04:18,-21.5333,21.9333,55.9,37,0,6.89
187,Liverpool,GB,2021-05-26 21:59:53,53.4106,-2.9779,51.3,77,10,6.35
188,Bethel,US,2021-05-26 22:00:04,41.3712,-73.414,86.72,69,75,1.01
189,Dingle,PH,2021-05-26 22:04:18,10.9995,122.6711,78.28,87,25,3.94
190,Ponta Do Sol,PT,2021-05-26 22:04:19,32.6667,-17.1,66.0,78,94,7.34
191,Komsomolskiy,UZ,2021-05-26 22:04:19,40.4272,71.7189,69.22,43,82,4.68
192,Mar Del Plata,AR,2021-05-26 22:02:39,-38.0023,-57.5575,58.12,47,97,3.0
193,Batticaloa,LK,2021-05-26 22:04:19,7.7102,81.6924,82.58,64,100,19.17
194,Rong Kwang,TH,2021-05-26 22:04:19,18.339,100.3174,75.52,93,100,1.1
195,Umm Kaddadah,SD,2021-05-26 22:04:20,13.6017,26.6876,85.77,37,97,8.25
196,Beringovskiy,RU,2021-05-26 22:04:20,63.05,179.3167,33.67,88,99,14.5
197,Semey,KZ,2021-05-26 22:04:20,50.4111,80.2275,73.0,34,4,5.3
198,Emerald,AU,2021-05-26 22:04:20,-23.5333,148.1667,64.35,55,44,15.52
199,Fairbanks,US,2021-05-26 22:04:02,64.8378,-147.7164,64.74,31,75,0.0
200,Port Shepstone,ZA,2021-05-26 22:04:21,-30.7414,30.455,65.07,84,73,5.59
201,Esperance,AU,2021-05-26 22:04:21,-33.8667,121.9,55.72,66,100,15.5
202,Naze,JP,2021-05-26 22:04:21,28.3667,129.4833,76.12,89,86,23.17
203,Longyearbyen,SJ,2021-05-26 22:04:22,78.2186,15.6401,35.44,75,75,6.91
204,Tekeli,KZ,2021-05-26 22:01:14,44.83,78.8239,62.98,42,25,6.98
205,Giaveno,IT,2021-05-26 22:04:22,45.047,7.3492,60.04,68,98,1.01
206,Kahului,US,2021-05-26 22:04:22,20.8947,-156.47,87.82,61,20,17.27
207,Kouango,CF,2021-05-26 22:04:22,4.9934,19.9619,71.89,98,97,6.13
208,Todos Santos,MX,2021-05-26 22:04:23,23.45,-110.2167,98.31,70,56,9.28
209,Shenjiamen,CN,2021-05-26 22:04:23,29.9576,122.298,67.51,96,100,9.62
210,Port Elizabeth,ZA,2021-05-26 22:04:23,-33.918,25.5701,52.11,83,99,4.12
211,Umm Lajj,SA,2021-05-26 22:01:46,25.0213,37.2685,89.74,32,0,5.95
212,Povoa De Varzim,PT,2021-05-26 22:04:24,41.3834,-8.7636,65.16,88,0,10.16
213,Jardim,BR,2021-05-26 22:02:09,-21.4803,-56.1381,77.22,51,8,3.0
214,Seddon,AU,2021-05-26 22:04:24,-37.8068,144.8916,54.09,86,75,1.99
215,Iquitos,PE,2021-05-26 22:04:24,-3.7481,-73.2472,75.24,94,75,1.14
216,Pisco,PE,2021-05-26 22:04:24,-13.7,-76.2167,65.01,91,90,5.03
217,Sipoo,FI,2021-05-26 22:04:25,60.3775,25.2691,48.63,86,20,13.0
218,Linjiang,CN,2021-05-26 22:04:25,41.8069,126.9078,46.53,96,100,1.95
219,Isangel,VU,2021-05-26 22:04:25,-19.55,169.2667,71.71,88,75,7.43
220,Tyn Nad Vltavou,CZ,2021-05-26 22:04:25,49.2234,14.4206,54.36,88,100,7.36
221,Caravelas,BR,2021-05-26 22:04:26,-17.7125,-39.2481,72.95,93,26,5.7
222,Talaya,RU,2021-05-26 22:04:26,61.3833,152.75,40.46,70,100,7.34
223,Milkovo,RU,2021-05-26 22:04:26,54.7167,158.6167,36.82,99,100,5.86
224,Mlonggo,ID,2021-05-26 22:04:27,-6.5333,110.7,82.29,87,100,6.96
225,Hobyo,SO,2021-05-26 22:04:27,5.3505,48.5268,78.84,78,82,20.33
226,Jurm,AF,2021-05-26 22:04:27,36.8648,70.8342,59.83,57,3,3.74
227,Homer,US,2021-05-26 22:04:28,59.6425,-151.5483,64.27,58,1,17.27
228,Pullman,US,2021-05-26 22:04:28,46.7313,-117.1796,71.22,43,40,11.01
229,Madikeri,IN,2021-05-26 22:04:28,12.4167,75.7333,62.35,98,98,3.98
230,Vihari,PK,2021-05-26 22:04:28,30.0333,72.35,93.06,13,0,7.29
231,Mufumbwe,ZM,2021-05-26 22:04:30,-13.6833,24.8,51.31,51,0,4.65
232,Felanitx,ES,2021-05-26 22:04:30,39.4696,3.1483,63.95,74,4,2.68
233,Sungairaya,ID,2021-05-26 22:04:30,0.7,108.9,77.25,90,100,6.62
234,Pombas,CV,2021-05-26 22:04:30,17.1503,-25.0201,71.38,80,42,12.68
235,Santa Maria,BR,2021-05-26 21:59:43,-29.6842,-53.8069,58.3,82,0,2.84
236,Teseney,ER,2021-05-26 22:04:31,15.11,36.6575,93.7,24,36,8.75
237,Ust-Ishim,RU,2021-05-26 22:04:31,57.6935,71.1665,49.84,76,100,16.78
238,Sobolevo,RU,2021-05-26 22:04:31,54.4299,31.8996,48.74,85,3,3.18
239,Fairfield,US,2021-05-26 22:00:29,41.2668,-73.3162,86.86,76,49,1.01
240,Boma,GH,2021-05-26 22:04:32,7.0805,-2.1697,73.89,97,99,2.21
